course_name,course_url,course_logo_url,category,difficulty,description,rating,enrollment_count
Create Your UI/UX Portfolio with GitHub,https://www.coursera.org/projects/create-uiux-portfolio-github,https://s3.amazonaws.com/coursera-course-photos/9a/74a30fbe3a436d96edb3a375f134e6/pexels-picjumbocom-196644.jpg,User Interface and User Experience (UI/UX) Design,INTERMEDIATE,"HTML and CSS, GitHub, Microsoft Visual Studio, Application Deployment, Web Design and Development, Integrated Development Environments",4.4,28
Growing Great Writers with Writable,https://www.coursera.org/projects/writing-with-writable-elementary-teaching,https://s3.amazonaws.com/coursera-course-photos/fe/ae9fa53e1047d7a94ec54822e15a31/Growing-Authors.png,Constructive Feedback,BEGINNER,"Writing, Peer Review, Literacy, Teaching, Education and Training",4.4,29
Low Intermediate English: Shopping & Customer Service,https://www.coursera.org/learn/low-intermediate-english-shopping-customer-service,https://s3.amazonaws.com/coursera-course-photos/74/696d2659fb466085cf86fa270b2beb/jordan-nix-4Hmj9gkyM6c-unsplash.jpg,Customer Complaint Resolution,MIXED,"Telephone Skills, Customer Service, Customer Inquiries, Product Knowledge, Writing, Verbal Communication Skills, Vocabulary, Grammar, Language Learning, Interpersonal Communications, Business Correspondence, Communication",4.8,16
AWS Services Overview for IT Professionals,https://www.coursera.org/learn/aws-services-tech-pros,https://s3.amazonaws.com/coursera-course-photos/e2/641f47df5b40689c7ee6ef45eb4b22/Course2_Coursera.png,Amazon CloudWatch,BEGINNER,"Amazon Web Services, Cloud Infrastructure, Cloud Security, Database Management, Cloud Services, Databases, Amazon S3, Cloud Computing, Cloud Computing Architecture, Relational Databases, Cloud Storage, AWS Identity and Access Management (IAM), Serverless Computing, Data Storage, System Monitoring, Solution Architecture",4.9,28
Creating a Technology Startup Company,https://www.coursera.org/learn/creating-a-technology-startup-company,https://s3.amazonaws.com/coursera-course-photos/9d/1084481cfa41b287fe01c3bdc00f6c/creating_a_startup_company_course_logo.png,Business Planning,BEGINNER,"Performance Measurement, Competitive Analysis, Business Modeling, Market Research, Leadership and Management, Entrepreneurship, Target Market, Product Development, Systems Thinking, Technology Strategies, Business Strategy, Market Analysis, Business Operations, Strategic Thinking, Leadership, Product Lifecycle Management",4.8,6
Relación entre Branding y Marketing,https://www.coursera.org/learn/relacion-entre-branding-y-marketing,https://s3.amazonaws.com/coursera-course-photos/38/35f62d3c3a4a278f817f252f6f6d5e/Estrategia-de-brandig.jpg,Brand Management,BEGINNER,"Marketing, Branding, Marketing Strategies, Strategic Marketing, Marketing Management, Value Propositions, Brand Strategy, Business Strategy, Go To Market Strategy, Consumer Behaviour",4.9,16
Introdução à Ciência e Engenharia de Dados,https://www.coursera.org/learn/introducao-a-ciencia-e-engenharia-de-dados,https://s3.amazonaws.com/coursera-course-photos/92/36dd013b6444c6a28dca4bc0c43e3a/Curso-Introducao-a-Ciencia-e-Engenharia-de-Dados.jpg,Big Data,BEGINNER,"Data Mining, Data-Driven Decision-Making, Business Intelligence, Analytics, Data Science, Data Analysis, Business Analytics, Data Processing, Predictive Analytics, Strategic Decision-Making, Machine Learning",4.4,37
Digital Communication and Emotion,https://www.coursera.org/learn/digitalcommunicationandemotion,https://s3.amazonaws.com/coursera-course-photos/b1/0bf4a4358d4193b9b804584917d875/FE_DigitalI_Intellegence_Course_Page_Image.png,Media and Communications,MIXED,"Digital Communications, Interpersonal Communications, Conflict Management, De-escalation Techniques",4.4,10
AWS: CI/CD Pipelines and Deployment Strategies,https://www.coursera.org/learn/aws-cicd-pipelines-and-deployment-strategies,https://s3.amazonaws.com/coursera-course-photos/6f/adf88396a045e7968649048c433b4d/AWS-CICD-Pipelines-and-Deployment-Strategies---Marketing-Logo.png,CI/CD,INTERMEDIATE,"Application Deployment, Software Development Life Cycle, Continuous Deployment, Continuous Integration, Amazon Web Services, AWS CloudFormation, Amazon Elastic Compute Cloud, Regression Testing, Unit Testing, Infrastructure as Code (IaC), Docker (Software), Git (Version Control System)",5,4
Responsible Medication Prescribing for Older Adults,https://www.coursera.org/learn/medication-prescribing,https://s3.amazonaws.com/coursera-course-photos/95/c9f889cd544788bc9fe069c5c3adf7/logo.png,Medication Administration,ADVANCED,"Patient Discharges, Care Coordination, Patient Safety, Pharmacy, Medicare, Patient Flow, Nursing Practices, Discharge Planning, Internal Medicine, Pharmaceuticals, General Medicine, Treatment Planning",4.8,26
